[25/01/2025 17:53:04]  [GENERAL][SOCKET_ID: lQ-sedfF6P2BPBdsAADH][IP: ::ffff:127.0.0.1] Client disconnected 
[25/01/2025 17:52:48]  [QUESTIONARY][SOCKET_ID: lQ-sedfF6P2BPBdsAADH][PHONE: webUser] Questionary started 
[25/01/2025 17:52:47]  [GENERAL][SOCKET_ID: lQ-sedfF6P2BPBdsAADH][IP: ::ffff:127.0.0.1] Client connected from IP: ::ffff:127.0.0.1
[25/01/2025 17:52:47]  [GENERAL][SOCKET_ID: lQ-sedfF6P2BPBdsAADH] New client connected
[25/01/2025 17:52:44]  [GENERAL][SOCKET_ID: lQ-sedfF6P2BPBdsAADH][IP: ::ffff:127.0.0.1] Client disconnected
[25/01/2025 17:52:19]  [QUESTIONARY][SOCKET_ID: lQ-sedfF6P2BPBdsAADH][PHONE: webUser] Questionary started 
[25/01/2025 17:52:18]  [GENERAL][SOCKET_ID: lQ-sedfF6P2BPBdsAADH][IP: ::ffff:127.0.0.1] Client connected from IP: ::ffff:127.0.0.1
[25/01/2025 17:52:18]  [GENERAL][SOCKET_ID: lQ-sedfF6P2BPBdsAADH] New client connected
[25/01/2025 17:52:15]  [GENERAL][SOCKET_ID: lQ-sedfF6P2BPBdsAADH][IP: ::ffff:127.0.0.1] Client disconnected
[25/01/2025 17:51:50]  [QUESTIONARY][SOCKET_ID: lQ-sedfF6P2BPBdsAADH][PHONE: webUser] Questionary started 
[25/01/2025 17:51:49]  [GENERAL][SOCKET_ID: lQ-sedfF6P2BPBdsAADH][IP: ::ffff:127.0.0.1] Client connected from IP: ::ffff:127.0.0.1
[25/01/2025 17:51:49]  [GENERAL][SOCKET_ID: lQ-sedfF6P2BPBdsAADH] New client connected
[25/01/2025 17:51:46]  [GENERAL][SOCKET_ID: lQ-sedfF6P2BPBdsAADH][IP: ::ffff:127.0.0.1] Client disconnected
[25/01/2025 17:51:20]  [QUESTIONARY][SOCKET_ID: lQ-sedfF6P2BPBdsAADH][PHONE: webUser] Questionary started 
[25/01/2025 17:51:20]  [GENERAL][SOCKET_ID: lQ-sedfF6P2BPBdsAADH][IP: ::ffff:127.0.0.1] Client connected from IP: ::ffff:127.0.0.1
[25/01/2025 17:51:20]  [GENERAL][SOCKET_ID: lQ-sedfF6P2BPBdsAADH] New client connected
[18/01/2025 19:23:17]  [GENERAL][SOCKET_ID: I0Cd-ZbcMgh5jiXoAADE][IP: ::ffff:127.0.0.1] Client disconnected
[18/01/2025 19:21:52]  [QUESTIONARY][SOCKET_ID: I0Cd-ZbcMgh5jiXoAADE][PHONE: josebaTesting][IP: ::ffff:127.0.0.1] Questionary started 
[18/01/2025 19:21:51]  [GENERAL][SOCKET_ID: I0Cd-ZbcMgh5jiXoAADE][IP: ::ffff:127.0.0.1] Client connected from IP: ::ffff:127.0.0.1
[18/01/2025 19:21:51]  [GENERAL][SOCKET_ID: I0Cd-ZbcMgh5jiXoAADE] New client connected
[18/01/2025 19:16:37]  [GENERAL][SOCKET_ID: qUowTyobx9ThGJeiAADB][IP: ::ffff:127.0.0.1] Client disconnected
[18/01/2025 19:15:12]  [QUESTIONARY][SOCKET_ID: qUowTyobx9ThGJeiAADB][PHONE: josebaTesting][IP: ::ffff:127.0.0.1] Questionary started 
[18/01/2025 19:15:11]  [GENERAL][SOCKET_ID: qUowTyobx9ThGJeiAADB][IP: ::ffff:127.0.0.1] Client connected from IP: ::ffff:127.0.0.1
[18/01/2025 19:15:11]  [GENERAL][SOCKET_ID: qUowTyobx9ThGJeiAADB] New client connected
[18/01/2025 18:29:55]  [GENERAL][SOCKET_ID: Zuiavtjp-Wx1qunmAAC4][IP: ::ffff:127.0.0.1] Client disconnected
[18/01/2025 18:18:50]  [GENERAL][SOCKET_ID: Ib4yYoCkD9afB4r7AAC-][IP: ::ffff:127.0.0.1] Client disconnected
[18/01/2025 18:17:23]  [QUESTIONARY][SOCKET_ID: Ib4yYoCkD9afB4r7AAC-][PHONE: josebaTesting][IP: ::ffff:127.0.0.1] Which zone do you live in?: Málaga 
[18/01/2025 18:17:15]  [QUESTIONARY][SOCKET_ID: Ib4yYoCkD9afB4r7AAC-][PHONE: josebaTesting][IP: ::ffff:127.0.0.1] How far would you travel for your hair treatment?: Abroad 
[18/01/2025 18:17:08]  [QUESTIONARY][SOCKET_ID: Ib4yYoCkD9afB4r7AAC-][PHONE: josebaTesting][IP: ::ffff:127.0.0.1] What is the most important criterion for you when choosing a clinic?: Quality and service 
[18/01/2025 18:17:04]  [QUESTIONARY][SOCKET_ID: Ib4yYoCkD9afB4r7AAC-][PHONE: josebaTesting][IP: ::ffff:127.0.0.1] How many years ago did your hair loss start?: Less than 5 
[18/01/2025 18:17:02]  [QUESTIONARY][SOCKET_ID: Ib4yYoCkD9afB4r7AAC-][PHONE: josebaTesting][IP: ::ffff:127.0.0.1] What is your age?: 24-30 
